"GeneID","LWC142","LWC143","LWC148","LWC153","LWC157","LWC162"
"CRADD",26,99,46,32,91,51
"CRAMP1",2984,3748,1637,3746,4959,2192
"CRAT",2345,2921,1545,2591,4100,1692
"CRB1",7,31,3,4,9,7
"CRB2",95,219,38,166,165,82
"CRBN",2256,2383,3242,2025,2568,2340
"CREB1",678,1317,249,590,1076,387
"CREB3",3,3,3,14,14,7
"CREB3L1",0,17,1,2,7,3
"CREB3L2",86,178,729,722,166,40
"CREB3L3",39,64,30,80,102,61
"CREB3L4",18,46,14,39,63,36
"CREB5",0,19,1,6,2,0
"CREBL2",1679,1594,1375,1967,1797,1241
"CREBRF",19033,30079,22615,22365,18573,8710
"CREBZF",111,241,44,202,317,195
"CREG1",67316,85094,108187,88957,100707,60290
"CREG2",14,24,13,17,53,18
"CRELD1",14,69,13,50,124,76
"CRELD2",334,359,310,498,728,471
"CREM",7662,7528,11711,5889,9632,4784
"CRH",0,12,0,0,0,0
"CRHR1",0,14,0,0,0,0
"CRHR2",0,20,1,1,0,0
"CRIM1",668,1432,570,978,1154,702
"CRIP1",114,98,117,158,370,165
"CRIP2",0,21,0,1,2,0
"CRIPT",1869,1483,1666,1462,1680,1186
"CRISPLD1",0,3,0,0,0,0
"CRISPLD2",38,182,29,28,450,30
"CRK",2837,4406,1862,3907,4643,1822
"CRKL",815,1213,783,1481,1799,752
"CRLF1",16,53,9,37,96,50
"CRLF2",2,9,1,0,2,0
"CRLF3",1251,1781,1001,1657,2239,1108
"CRLS1",550,678,324,1130,992,477
"CRMP1",0,11,0,0,0,1
"CRNKL1",2346,2493,2041,2670,2773,1775
"CRNN",0,7,0,0,1,0
"CROCC",8,82,4,41,41,12
"CROT",66,145,85,102,189,224
"CRPPA",12,13,25,18,26,8
"CRTAC1",0,49,9,2,0,0
"CRTAM",6,9,6,5,4,7
"CRTC1",109,185,102,119,257,115
"CRTC2",137,128,65,165,189,90
"CRY1",151,277,103,185,384,204
"CRY2",763,1023,542,1485,2137,712
"CRYAA",1,10,0,2,1,0
"CRYAB",5,6,3,4,18,5
"CRYBA1",265,200,16,268,274,158
"CRYBA2",0,8,0,1,0,0
"CRYBA4",0,11,0,6,0,2
"CRYBB1",0,10,1,0,1,0
"CRYBB2",1,27,4,3,3,1
"CRYBB3",84,244,69,256,458,124
"CRYBG1",61,123,34,121,195,38
"CRYBG2",0,51,4,11,2,1
"CRYBG3",3660,4809,1943,6216,2620,3558
"CRYGN",57,115,41,65,164,35
"CRYGS",11,28,7,74,46,30
"CRYL1",27,18,95,22,127,79
"CRYM",29,60,40,35,105,35
"CRYZ",234,416,363,150,218,51
"CRYZL1",660,736,415,808,754,578
"CS",43,195,36,255,281,96
"CSDC2",0,22,4,3,7,5
"CSDE1",16991,22951,21435,18277,25333,16181
"CSE1L",870,1001,632,855,1355,785
"CSF1",1,25,5,4,40,5
"CSF1R",189,110,63,104,324,104
"CSF2RB",533,898,474,393,2274,545
"CSF3",2,10,2,4,0,1
"CSF3R",76,745,31,153,1372,250
"CSGALNACT1",8,19,14,29,9,11
"CSGALNACT2",202,492,141,156,344,184
"CSK",34,141,33,136,205,107
"CSMD1",2,28,1,1,4,0
"CSMD2",0,60,0,0,4,4
"CSMD3",0,28,11,0,30,8
"CSNK1A1",6206,5957,6196,8044,11633,6937
"CSNK1D",2054,1853,2089,2386,2854,1881
"CSNK1E",24,77,20,40,113,31
